system:index,LST,NDVI,.geo
64,47.34402647000002,0.10409934279801024,"{""type"":""Point"",""coordinates"":[74.15757083527761,18.835301378997293]}"
65,43.27145564,0.10251261735496825,"{""type"":""Point"",""coordinates"":[73.9243179104689,18.838438897221934]}"
66,42.07685765000002,0.19879681809121713,"{""type"":""Point"",""coordinates"":[74.2205021622602,18.873137141721124]}"
67,43.22531236999998,0.18968935888962327,"{""type"":""Point"",""coordinates"":[73.84200213920376,18.69226018931442]}"
68,52.79064133999998,0.10372245663384903,"{""type"":""Point"",""coordinates"":[74.39347056925581,18.6268389520547]}"
69,50.613362600000016,0.13304721030042918,"{""type"":""Point"",""coordinates"":[74.56288961636933,18.246451571266046]}"
70,50.34846605000001,0.15876312229694972,"{""type"":""Point"",""coordinates"":[74.36371570022584,18.756870712422]}"
71,48.32499820999999,0.14405437171035823,"{""type"":""Point"",""coordinates"":[73.70442234116983,18.924297079644617]}"
72,47.532017569999994,0.1399843348694876,"{""type"":""Point"",""coordinates"":[73.49022294834974,18.61994601801803]}"
73,49.528141249999976,0.13005140654005426,"{""type"":""Point"",""coordinates"":[73.85030214548748,18.99993450803206]}"
74,46.10499421999998,0.13447694899678359,"{""type"":""Point"",""coordinates"":[73.89560590680121,18.922184761608055]}"
75,48.78813992000005,0.18458580355712226,"{""type"":""Point"",""coordinates"":[74.83667424340345,18.050626557249444]}"
76,45.80420846000004,0.16993275300136143,"{""type"":""Point"",""coordinates"":[74.67835236578142,18.267412522104443]}"
77,38.716943990000004,0.3330346100765329,"{""type"":""Point"",""coordinates"":[73.58132239061582,18.99012641950433]}"
78,51.82334168,0.12602900426771302,"{""type"":""Point"",""coordinates"":[73.87211197328243,18.073201425043]}"
79,51.447359480000046,0.08770706190061028,"{""type"":""Point"",""coordinates"":[74.23665559735086,18.674902861990795]}"
80,45.19067387000001,0.14729161738750704,"{""type"":""Point"",""coordinates"":[74.61541239955518,18.4566065137722]}"
81,41.82905119999998,0.11358047180981874,"{""type"":""Point"",""coordinates"":[73.71779923980954,18.395475649478843]}"
82,41.34198335000002,0.1809549859331041,"{""type"":""Point"",""coordinates"":[73.56031943723507,18.546337768668714]}"
83,44.94799445000001,0.11663109635601929,"{""type"":""Point"",""coordinates"":[73.70989601610246,18.387858518606546]}"
84,38.182023860000015,0.16815700601091735,"{""type"":""Point"",""coordinates"":[73.40211923943369,18.81551744935645]}"
85,49.17950321000001,0.09470318661408932,"{""type"":""Point"",""coordinates"":[73.75393037317438,18.482013244982365]}"
86,49.61017373000004,0.1450997898182765,"{""type"":""Point"",""coordinates"":[73.64535985751169,18.22443178250573]}"
87,46.44166919000003,0.19307164385053924,"{""type"":""Point"",""coordinates"":[74.2365539452004,18.778156409816535]}"
88,40.77117400999998,0.11874840708138099,"{""type"":""Point"",""coordinates"":[73.40313964650629,18.690948992293112]}"
89,37.689828980000016,0.2804783439610967,"{""type"":""Point"",""coordinates"":[73.4624558672616,18.728157328641412]}"
90,50.25276149000001,0.18358514773750023,"{""type"":""Point"",""coordinates"":[74.06456202075151,18.650576588592106]}"
91,46.06739600000003,0.17679036581222393,"{""type"":""Point"",""coordinates"":[74.63615192510208,18.07922822883873]}"
92,39.62442829999998,0.2442139633150869,"{""type"":""Point"",""coordinates"":[73.59286152916687,18.978309967030086]}"
93,45.477787550000016,0.10802641889622747,"{""type"":""Point"",""coordinates"":[74.34049925561352,18.118524551211472]}"
94,48.854791309999996,0.16809558050777146,"{""type"":""Point"",""coordinates"":[73.95626682877248,19.230136198814417]}"
95,49.10601578000001,0.2063070426372429,"{""type"":""Point"",""coordinates"":[74.90651262346267,18.085728149348355]}"
96,42.319537070000024,0.15941617100749073,"{""type"":""Point"",""coordinates"":[73.86601281151512,18.32838046874438]}"
97,45.40771814000004,0.19165265696951977,"{""type"":""Point"",""coordinates"":[73.8594173085578,19.171068117849167]}"
98,50.008373060000054,0.09511393266069607,"{""type"":""Point"",""coordinates"":[73.97722836867777,18.935732793521066]}"
99,49.85285314999999,0.10259649122807017,"{""type"":""Point"",""coordinates"":[73.83944341794529,18.538386959688452]}"
100,30.72561323000002,-0.02291607726138731,"{""type"":""Point"",""coordinates"":[74.08289087070786,18.12918575311103]}"
101,51.713965040000005,0.1276110620770815,"{""type"":""Point"",""coordinates"":[74.46478671341488,18.25375149469039]}"
102,49.881906319999985,0.07904696370204714,"{""type"":""Point"",""coordinates"":[75.11156642827689,18.07944252038618]}"
103,52.664174600000024,0.20363847493710083,"{""type"":""Point"",""coordinates"":[74.62508074758841,18.243838494913913]}"
104,49.15045004000001,0.10302173528892031,"{""type"":""Point"",""coordinates"":[73.882372591036,18.258304026984177]}"
105,47.070584870000005,0.18034181424483797,"{""type"":""Point"",""coordinates"":[74.44080643020166,18.640746294865675]}"
106,46.07935907000001,0.06345044572627163,"{""type"":""Point"",""coordinates"":[73.74357499408939,18.63026828663657]}"
107,49.48199798000002,0.04388605025547701,"{""type"":""Point"",""coordinates"":[75.02286179226269,18.115690000981235]}"
108,37.86756602000003,0.11393132906193527,"{""type"":""Point"",""coordinates"":[73.51636571585729,18.825040676332918]}"
109,42.99117799999999,0.09017021276595745,"{""type"":""Point"",""coordinates"":[74.14909985045797,18.976393810940472]}"
110,49.48883402000001,0.04348178301638415,"{""type"":""Point"",""coordinates"":[73.8731767392504,18.65102644677745]}"
111,39.23306501000002,0.3982604067920637,"{""type"":""Point"",""coordinates"":[73.96694696219393,18.630990144095044]}"
112,36.29698583000004,0.31314988223128626,"{""type"":""Point"",""coordinates"":[73.36397964492234,18.592413782227744]}"
113,46.53737375000003,0.1745823431348207,"{""type"":""Point"",""coordinates"":[73.98420546551509,18.4528548747425]}"
114,56.80510583,0.06591067690160503,"{""type"":""Point"",""coordinates"":[74.28004650974789,18.188829969631122]}"
115,42.52974530000006,0.1707984270815524,"{""type"":""Point"",""coordinates"":[75.00872153997899,17.910096129969755]}"
116,52.44713033000005,0.17258685894037396,"{""type"":""Point"",""coordinates"":[74.38567507454182,18.33627020760636]}"
117,52.53770786000001,0.11970276633313714,"{""type"":""Point"",""coordinates"":[74.60885497440854,18.291551060521368]}"
118,40.3763927,0.18996563831984528,"{""type"":""Point"",""coordinates"":[73.99398053846744,18.719758749826394]}"
119,41.382999590000054,0.3203125,"{""type"":""Point"",""coordinates"":[73.66741091613791,19.15496317084072]}"
120,51.337982839999995,0.09991216512955643,"{""type"":""Point"",""coordinates"":[74.78120665839043,18.21029853464594]}"
121,44.61302849000003,0.11024465877739015,"{""type"":""Point"",""coordinates"":[73.75912971866762,18.396396417861947]}"
122,36.58239050000003,0.27343372445922176,"{""type"":""Point"",""coordinates"":[73.47086046000206,18.576544201829538]}"
123,41.830760209999994,0.2129301519804709,"{""type"":""Point"",""coordinates"":[74.19521046717577,18.521589258002837]}"
124,44.89330613000004,0.20384721837807915,"{""type"":""Point"",""coordinates"":[74.09335889154804,18.909783159436838]}"
125,38.78017736000004,0.20301757465571646,"{""type"":""Point"",""coordinates"":[73.49791761309424,18.32462234731853]}"
126,51.34994591000003,0.10392199507032043,"{""type"":""Point"",""coordinates"":[73.58133268354342,18.643441119852685]}"
127,50.45613367999999,0.19223394947971928,"{""type"":""Point"",""coordinates"":[74.35768191924316,18.17527515960769]}"
128,51.373872050000045,0.12852986479548179,"{""type"":""Point"",""coordinates"":[73.71890834245137,18.90468115185495]}"
129,51.355072940000014,0.10311819637619879,"{""type"":""Point"",""coordinates"":[74.15765369009713,18.795000330119166]}"
130,54.231336769999984,0.040625824874619056,"{""type"":""Point"",""coordinates"":[74.25970867588313,18.36482882424998]}"
131,45.88453192999998,0.1623347929136705,"{""type"":""Point"",""coordinates"":[73.57079117490959,18.81254664006817]}"
132,48.23954771000001,0.09162081717326599,"{""type"":""Point"",""coordinates"":[74.17849306008932,18.93934666753704]}"
133,49.36236728000006,0.1497779422649889,"{""type"":""Point"",""coordinates"":[73.99263701608393,18.764619091540133]}"
134,45.51367676000001,0.17069995858233242,"{""type"":""Point"",""coordinates"":[73.53577366833818,18.598771093873353]}"
135,40.74895688000004,0.22409695350710063,"{""type"":""Point"",""coordinates"":[73.66170071007951,19.13586085026525]}"
